Student_ID,Age,Gender,Degree,Branch,CGPA,Internships,Projects,Coding_Skills,Communication_Skills,Aptitude_Test_Score,Certifications,Backlogs,Placement_Status
1,22,M,B.Tech,CSE,7.5,2,3,8,7,75,2,0,1
2,23,F,B.Tech,CSE,8.2,3,4,9,8,85,3,0,1
3,22,M,B.Tech,ECE,6.8,1,2,6,5,65,1,1,0
4,23,F,B.Tech,ME,7.1,2,2,7,6,70,1,0,1
5,22,M,B.Tech,CSE,5.5,0,1,4,3,45,0,2,0
6,23,F,B.Tech,CSE,8.9,3,4,9,9,92,4,0,1
7,22,M,B.Tech,IT,7.3,2,3,8,7,78,2,0,1
8,23,F,B.Tech,ECE,6.2,1,1,5,4,55,1,1,0
9,22,M,B.Tech,ME,7.8,2,3,8,8,80,2,0,1
10,23,F,B.Tech,CSE,8.5,3,4,9,8,88,3,0,1
11,22,M,B.Tech,IT,6.9,1,2,6,5,68,1,0,1
12,23,F,B.Tech,ME,5.8,0,1,4,3,48,0,2,0
13,22,M,B.Tech,CSE,9.0,3,4,10,9,95,4,0,1
14,23,F,B.Tech,ECE,7.2,2,2,7,6,72,2,0,1
15,22,M,B.Tech,IT,6.5,1,2,5,4,60,1,1,0
16,23,F,B.Tech,CSE,8.3,3,4,9,8,86,3,0,1
17,22,M,B.Tech,ME,7.0,2,2,7,6,70,1,0,1
18,23,F,B.Tech,ECE,5.9,0,1,4,3,50,0,2,0
19,22,M,B.Tech,IT,7.6,2,3,8,7,76,2,0,1
20,23,F,B.Tech,CSE,8.7,3,4,9,9,90,4,0,1
